LCA_Class,t,MEMS_actual,MEMS_sarima,period
10,35,,1104.9317279100815,forecast
10,36,,1181.1487768439067,forecast
10,37,,1299.2644608208816,forecast
10,38,,1398.969466324072,forecast
10,39,,1129.8158274097095,forecast
10,40,,1205.9083919417837,forecast
10,41,,1324.067269578502,forecast
10,42,,1423.7586104719242,forecast
10,43,,1154.592924708169,forecast
11,0,865.0067567567568,,train
11,1,936.6162420382166,,train
11,2,1092.169642857143,,train
11,3,764.398773006135,,train
11,4,793.689024390244,,train
11,5,989.2796610169491,,train
11,6,1118.0307262569831,,train
11,7,887.8023648648649,,train
11,8,986.6048850574713,,train
11,9,980.48828125,,train
11,10,1101.0442857142857,,train
11,11,961.7222222222222,,train
11,12,992.4915540540541,,train
11,13,800.1901408450705,,train
11,14,992.900826446281,,train
11,15,1009.7233009708738,,train
11,16,604.0640625,,train
11,17,797.2585616438356,,train
11,18,962.6939102564103,,train
11,19,840.1433566433567,,train
11,20,953.1909937888199,,train
11,21,1221.2043918918919,,train
11,22,1116.309451219512,,train
11,23,821.133064516129,,train
11,24,1007.7158385093168,,train
11,25,1096.9541139240507,,train
11,26,1140.2736486486488,,train
11,27,973.2278911564625,,train
11,28,973.2278911564625,980.1962303727757,forecast
11,29,,1057.1842835062916,forecast
11,30,,1144.095054239857,forecast
11,31,,962.3662952923937,forecast
11,32,,975.4611705210145,forecast
11,33,,1060.0458795505542,forecast
11,34,,1157.0075421721276,forecast
11,35,,973.4152283529243,forecast
11,36,,987.7397714033972,forecast
11,37,,1073.6787096335022,forecast
11,38,,1172.383662891655,forecast
11,39,,988.4734698291813,forecast
11,40,,1003.010651509883,forecast
11,41,,1089.183079731724,forecast
11,42,,1188.188382999087,forecast
11,43,,1004.2234477797401,forecast
12,0,633.217791411043,,train
12,1,666.6369863013699,,train
12,2,820.5698051948052,,train
12,3,784.1935483870968,,train
12,4,722.443359375,,train
12,5,706.6285046728972,,train
12,6,810.5259259259259,,train
12,7,853.408203125,,train
12,8,757.2136752136752,,train
12,9,975.0427927927927,,train
12,10,765.6544117647059,,train
12,11,574.1546391752578,,train
12,12,747.2016129032259,,train
12,13,837.5342465753424,,train
12,14,940.8275862068965,,train
12,15,580.2366071428571,,train
12,16,646.6921875,,train
12,17,873.2331932773109,,train
12,18,934.5157342657343,,train
12,19,752.893581081081,,train
12,20,633.6905594405595,,train
12,21,921.2764227642276,,train
12,22,821.1914893617021,,train
12,23,741.3376288659794,,train
12,24,741.8733552631579,,train
12,25,837.572695035461,,train
12,26,950.7758064516129,,train
12,27,748.9875,,train
12,28,748.9875,750.626267868158,forecast
12,29,,867.5740791020613,forecast
12,30,,931.163149527246,forecast
12,31,,771.5644750268789,forecast
12,32,,762.2159951180533,forecast
12,33,,885.5839143382153,forecast
12,34,,934.5570959822677,forecast
12,35,,787.3852133408219,forecast
12,36,,774.8004904677244,forecast
12,37,,900.0594225039125,forecast
12,38,,944.7275624002978,forecast
12,39,,801.2159332365685,forecast
12,40,,787.6779901197277,forecast
12,41,,913.4939111450968,forecast
12,42,,956.8940211100646,forecast
12,43,,814.4605025056196,forecast
13,0,546.550925925926,,train
13,1,593.0758928571429,,train
13,2,576.5817307692307,,train
13,3,395.4947916666667,,train
13,4,299.15277777777777,,train
13,5,912.7403846153846,,train
13,6,729.6372549019608,,train
13,7,279.91509433962267,,train
13,8,498.0108695652174,,train
13,9,488.7708333333333,,train
13,10,703.875,,train
13,11,676.2867647058823,,train
13,12,511.4102564102564,,train
13,13,394.077868852459,,train
13,14,693.625,,train
13,15,731.1590909090909,,train
13,16,464.2668539325843,,train
13,17,635.311320754717,,train
13,18,496.7435064935065,,train
13,19,928.5060975609756,,train
13,20,534.6822033898305,,train
13,21,507.7708333333333,,train
13,22,641.8163265306123,,train
13,23,577.8076923076923,,train
13,24,663.0163043478261,,train
13,25,231.81521739130434,,train
13,26,526.65,,train
13,27,462.4423076923077,,train
13,28,462.4423076923077,592.239794242641,forecast
13,29,,297.6291495289106,forecast
13,30,,522.4863339345488,forecast
13,31,,449.4427411345568,forecast
13,32,,529.1666144757628,forecast
13,33,,338.44005207947583,forecast
13,34,,514.9938985088065,forecast
13,35,,438.636064100397,forecast
13,36,,487.9639677906027,forecast
13,37,,359.27763766505035,forecast
13,38,,507.0132181428027,forecast
13,39,,428.69603741867326,forecast
13,40,,459.9162820851907,forecast
13,41,,368.1814277773261,forecast
13,42,,498.75291811857943,forecast
13,43,,419.2688894943041,forecast
14,0,447.99242424242425,,train
14,1,314.5703125,,train
14,2,492.9710144927536,,train
14,3,475.3939393939394,,train
14,4,484.4836065573771,,train
14,5,342.6953125,,train
14,6,426.7723880597015,,train
14,7,295.1630434782609,,train
14,8,475.780701754386,,train
14,9,453.22222222222223,,train
14,10,565.9855072463768,,train
14,11,243.36805555555554,,train
14,12,394.33962264150944,,train
14,13,418.57142857142856,,train
14,14,719.375,,train
14,15,483.48214285714283,,train
14,16,334.93055555555554,,train
14,17,528.172619047619,,train
14,18,278.83223684210526,,train
14,19,257.94871794871796,,train
14,20,296.34294871794873,,train
14,21,348.06140350877195,,train
14,22,345.59090909090907,,train
14,23,401.984126984127,,train
14,24,319.61038961038963,,train
14,25,340.92857142857144,,train
14,26,482.7083333333333,,train
14,27,228.65384615384616,,train
14,28,228.65384615384616,321.6819091175913,forecast
14,29,,328.16712875388595,forecast
14,30,,414.29745579830114,forecast
14,31,,274.5874917617401,forecast
