lad_name,lad_code,total_pop,asian,black,mixed,white,other,simpsons_index
Burnley,E07000117,94651,0.14717224329378453,0.0034442319679665297,0.015900518747820943,0.8252633358337471,0.00821967015668086,0.2969485051246473
Chorley,E07000118,117733,0.018720324802731603,0.005546448319502603,0.015059499035954235,0.9562994232713004,0.004374304570511241,0.08486427634960803
Fylde,E07000119,81375,0.014414746543778802,0.004067588325652842,0.014230414746543778,0.962605222734255,0.004682027649769585,0.07294242888525515
Hyndburn,E07000120,82237,0.1507958704719287,0.0027238347702372412,0.013266534528253706,0.8266838527670027,0.006529907462577672,0.29362835311720314
Lancaster,E07000121,142939,0.03606433513596709,0.008500129425838995,0.015419164818558966,0.9309075899509581,0.009108780668676849,0.13171744997367152
Pendle,E07000122,95758,0.2670586269554502,0.0025480899768165585,0.0155391716618977,0.7057060506693957,0.009148060736439775,0.43032701418356845
Preston,E07000123,147834,0.20167891012892838,0.023600795486829824,0.02953988933533558,0.7259561399948591,0.019224265054047108,0.43051412503654884
Ribble Valley,E07000124,61565,0.020547388938520265,0.0020303744010395515,0.01195484447332088,0.9624949240639974,0.0029724681231219035,0.07302544966551627
Rossendale,E07000125,70868,0.0546932324885703,0.0024270474685330473,0.01471750296325563,0.9243946492069763,0.003767567872664672,0.1422664928168993
South Ribble,E07000126,111035,0.020777232404196874,0.004854325212770748,0.017183770883054894,0.9539244382401946,0.003260233259782951,0.08926699716581032
West Lancashire,E07000127,117429,0.01049144589496632,0.0033041241941939386,0.013173917856747482,0.9690536409234516,0.003976871130640642,0.06062468572365842
Wyre,E07000128,111946,0.009906562092437425,0.0024386757901130904,0.010138816929591054,0.9749254104657603,0.0025905347220981545,0.049306850437190075
Blaby,E07000129,102924,0.08255606078271346,0.015487155571101006,0.026864482530799424,0.8623158835645719,0.012776417550814193,0.24847102452552883
Charnwood,E07000130,183970,0.12422134043594064,0.015437299559710823,0.025330216883187477,0.8232809697233244,0.011730173397836604,0.30575997639873176
Harborough,E07000131,97623,0.05426999784886758,0.007160197904182416,0.020517705868494104,0.9101441258719769,0.007907972506479006,0.16815765675692274
Hinckley and Bosworth,E07000132,113641,0.027692470147217995,0.0060893515544565785,0.017511285539549986,0.9431455196627978,0.005561373095977684,0.1093350016428224
Melton,E07000133,51752,0.011574431906013294,0.0037100015458339775,0.012733807389086412,0.9688900912042047,0.003091667954861648,0.06093255131952546
North West Leicestershire,E07000134,104707,0.014736359555712607,0.006131395226680165,0.015204332088590065,0.9593341419389344,0.004593771190082803,0.07917097536190054
Oadby and Wigston,E07000135,57747,0.2793391864512442,0.021715413787729232,0.032434585346424925,0.6336606230626699,0.0328501913519317,0.5178411370981606
Boston,E07000136,70505,0.020466633572087087,0.006623643713211829,0.014396142117580314,0.9465002482093469,0.012013332387773917,0.1033229553309023
East Lindsey,E07000137,142295,0.00796935942935451,0.0020520749147896976,0.010429038265575038,0.9775466460522154,0.002002881338065287,0.044222056718095315
Lincoln,E07000138,103814,0.03224035293890997,0.014121409443812974,0.019920241971217754,0.9215038434122566,0.012214152233802763,0.14904581045915177
North Kesteven,E07000139,118072,0.0098245138559523,0.0035232739345484113,0.011586150823226506,0.971686767396165,0.003379293990107731,0.05557023301669739
South Holland,E07000140,95122,0.012363070583040727,0.005435125417884401,0.012878198524000756,0.9632156598894052,0.00610794558566893,0.07183005144476728
South Kesteven,E07000141,143405,0.017635368362330463,0.006101600362609393,0.013604825494229629,0.958272026777309,0.004386179003521495,0.08116215710886876
West Lindsey,E07000142,95153,0.011938667199142433,0.0034996269166500268,0.011360650741437474,0.9696068437148593,0.003594211427910838,0.05956580671720335
Breckland,E07000143,141477,0.009471504202096455,0.0057959951087455915,0.01449705605858196,0.9645172006757282,0.005718243954847785,0.0693404037012133
Broadland,E07000144,131723,0.01390038186193755,0.00519271501560092,0.013983890436749847,0.9631499434419197,0.003773069243791897,0.07191221629942046
Great Yarmouth,E07000145,99750,0.019408521303258146,0.01106766917293233,0.015789473684210527,0.9459749373433584,0.007759398496240601,0.10432271817388084
King's Lynn and West Norfolk,E07000146,154326,0.01870067260215388,0.005462462579215427,0.013102134442673302,0.9561771833650843,0.006557547010873087,0.08513097300905803
North Norfolk,E07000147,102978,0.005486608790227039,0.0017770785993124745,0.009497174153702733,0.980859989512323,0.0023791489444347337,0.03778456342291481
Norwich,E07000148,143924,0.054660793196409214,0.024860342958783803,0.031398515883382896,0.8714390928545621,0.017641255106861955,0.2356909877985045
South Norfolk,E07000149,141948,0.018048862963902273,0.008200185983599628,0.014751880970496237,0.9543917490912165,0.004607320990785358,0.0885045393632733
Craven,E07000163,56927,0.01707449891966905,0.0015282730514518594,0.009995257083633425,0.9686616192667803,0.002740351678465403,0.06129337853609207
Hambleton,E07000164,90692,0.007321483703082962,0.0026904247342654257,0.008170511180699511,0.9787412340669519,0.0030763463150002206,0.04192853306863109
Harrogate,E07000165,162668,0.018116654781518183,0.006368800255735609,0.015817493299235253,0.9543610298276244,0.005336021835886591,0.08854758372588156
Richmondshire,E07000166,49781,0.027038428316024186,0.008838713565416524,0.00928064924368735,0.943914344830357,0.010927864044514976,0.10801096149722589
Ryedale,E07000167,54707,0.005940738845120369,0.0016999652695267515,0.007750379293326265,0.9816111283747967,0.0029977882172299705,0.03633235527742906
Scarborough,E07000168,108736,0.012617716303708063,0.0030440700412007063,0.009831150676868747,0.9698719835197175,0.004635079458505003,0.05906172697117429
Selby,E07000169,91988,0.007544462321172327,0.0024785841631517155,0.009609949123798756,0.9768013219115537,0.0035656824803235202,0.0456910500069595
Ashfield,E07000170,126299,0.015582071116952628,0.012470407525000197,0.016302583551730417,0.951290192321396,0.004354745484920704,0.09436391995028859
Bassetlaw,E07000171,117803,0.012351128579068445,0.006247718648930842,0.011926691170853035,0.9644915664286987,0.004982895172448919,0.06939735871583774
Broxtowe,E07000172,110940,0.05545339823327925,0.016828916531458446,0.02541013160266811,0.8890932035334415,0.013214350099152694,0.20533468978679315
Gedling,E07000173,117264,0.038647837358439074,0.02281177513985537,0.0352196752626552,0.894716195933961,0.008604516305089372,0.19615443308949465
Mansfield,E07000174,110482,0.020220488405351098,0.010626165348201516,0.013975127170036747,0.9477742980757047,0.007403921000705998,0.10095197414014367
Newark and Sherwood,E07000175,122959,0.01147536983872673,0.0065387649541717155,0.01499686887499085,0.9626460852804594,0.004342911051651363,0.07289430798168894
Rushcliffe,E07000176,119077,0.05689595807754646,0.009195730493714152,0.02773835417418981,0.8971253894538828,0.009044567800666795,0.19099310359335064
Cherwell,E07000177,161015,0.06028009812750365,0.017669161258267865,0.02865571530602739,0.8808558208862528,0.012539204421948266,0.21916875165373795
