lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2
E07000061,Eastbourne,569.160595063658,2.3545268429181,222983.683635152
E07000062,Hastings,406.333109112317,5.23988001996672,979813.985204108
E07000063,Lewes,884.994801134691,1.53383642019518,96553.574344707
E07000064,Rother,2018.87746965571,2.08121769001399,250982.845564619
E07000065,Wealden,2357.88437996106,1.31884477905657,339093.791518006
E07000084,Basingstoke and Deane,850.407433781011,2.02296842246549,306446.12114117
E07000085,East Hampshire,1405.30267333195,1.36547340732582,464832.766773629
E07000086,Eastleigh,713.216401073953,1.93090450825637,430086.097671871
E07000087,Fareham,897.317506896552,1.18964369801176,89000.8793389198
E07000088,Gosport,607.446468505109,2.02175692988243,685285.878706961
E07000089,Hart,558.103082531361,2.28668182714878,577541.913664629
E07000090,Havant,1243.70615962468,1.34208313128467,929109.389198251
E07000091,New Forest,1280.67143601656,1.37632863404813,148657.111125121
E07000092,Rushmoor,453.468868150794,3.02043867746845,203183.096962008
E07000093,Test Valley,1233.41229962211,1.3257300999357,127383.638250954
E07000094,Winchester,2108.91872709251,1.45320865935477,194622.896206454
E07000105,Ashford,1246.81962137575,3.0725460760669,167635.046598063
E07000106,Canterbury,733.956938945099,2.57196059944496,69317.8901279476
E07000107,Dartford,579.179622732316,2.21112666821601,561852.974484877
E07000108,Dover,1054.32608535739,1.66995357032067,113410.862669518
E07000109,Gravesham,531.189184285759,3.79007695614321,205239.055063645
E07000110,Maidstone,1178.8041248432,1.93323601984355,696345.537607269
E07000111,Sevenoaks,1687.67264392348,1.85306190946324,680499.394271888
E07000112,Folkestone and Hythe,918.382593995499,2.13158855617757,225698.412116487
E07000113,Swale,983.515074080402,1.89082155336374,158908.092258492
E07000114,Thanet,507.491046428963,3.38880236049881,96233.6748442059
E07000115,Tonbridge and Malling,1142.94657572047,1.34954737366837,372347.386416907
E07000116,Tunbridge Wells,978.709736950355,1.97533440358822,137390.441512665
E07000177,Cherwell,1210.6555083818,2.91378218218996,159994.795174565
E07000178,Oxford,529.677908171209,2.35194021597804,490949.945160669
E07000179,South Oxfordshire,1353.89650257432,1.4205269409811,152046.40810318
E07000180,Vale of White Horse,1574.13292396604,1.69244517614249,142877.647144616
E07000181,West Oxfordshire,1546.29642435877,2.08586520782598,240059.771076696
E07000207,Elmbridge,752.211459716442,1.73052299212527,547726.550796822
E07000208,Epsom and Ewell,502.468796335754,2.79603720937976,828139.126549098
E07000209,Guildford,654.349155923683,2.84906939075873,347930.376938166
E07000210,Mole Valley,872.922068661449,1.88377160051218,226597.91684728
E07000211,Reigate and Banstead,674.287822663332,2.4583981622664,238233.766946874
E07000212,Runnymede,545.975502321356,1.83214774777097,3271509.41787363
E07000213,Spelthorne,656.175006284751,1.62741243535999,277854.662332285
E07000214,Surrey Heath,838.45450820071,1.41427964636043,196790.458972895
E07000215,Tandridge,1070.37269239226,1.62066548650611,158633.48414375
E07000216,Waverley,972.197956194586,1.8866646423428,387547.07492501
E07000217,Woking,809.925993286529,1.52098314421871,178189.532204158
E07000223,Adur,600.690811001918,2.05236401628889,36091.4149223786
E07000224,Arun,1117.75909036716,1.54978332549059,62289.4490606695
E07000225,Chichester,3039.05822599996,1.44945552745085,262819.910121912
E07000226,Crawley,833.948570665106,1.23403027577462,427582.334686611
E07000227,Horsham,2123.35694001254,1.04350113013677,281458.250141866
E07000228,Mid Sussex,1437.82223535876,1.31428683420264,85243.0560436527
E07000229,Worthing,557.76037171489,1.71953468890298,61702.7146299647
E06000035,Medway,641.525811544732,2.58720604501308,264729.16681772
E06000036,Bracknell Forest,533.431004060215,2.92952291422886,433410.870710704
E06000037,West Berkshire,1315.09007122188,2.61998497265866,219267.547363103
E06000038,Reading,643.862763295418,1.70506907027631,190677.195932559
E06000039,Slough,555.864853487136,1.96714327318814,316188.258514509
E06000040,Windsor and Maidenhead,667.689817862118,2.56178054989168,3506587.9763403
E06000041,Wokingham,660.168630480836,2.56869435049172,415845.024820249
E06000042,Milton Keynes,615.92767517871,2.22064968315566,740154.33838875
E06000043,Brighton and Hove,619.937409437635,2.78609569625668,197572.903376661
E06000044,Portsmouth,504.997398059006,3.17815435268481,173074.17019686
E06000045,Southampton,514.453361814481,2.66184949469865,586446.614143869
E06000046,Isle of Wight,869.878961839945,2.35233909747928,72695.4152454443
